time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.070875148708,0.0344885073169,11.8617329924,0.033424005628,0.0336573766417,0.0,-0.196828413015,0.148696286568,2.99405531199,-0.0141121979927,0.0843460939488,0.0,423.5476471671695,425.82963093150516,427.10360040920835,424.24237281108446
1.3800000000000008,-0.0835044297911,0.0441976223159,12.0473764622,0.0326896970591,0.0387215284817,0.0,-0.224719999731,0.174829723684,3.19350108136,-0.00873227230198,0.0845150927818,0.0,475.2064069301653,475.2246908052597,476.31218828691556,476.723580056617
1.4400000000000008,-0.097655252804,0.0552353899044,12.2381333607,0.0324998651443,0.0437972825954,0.0,-0.247398656188,0.193068987577,3.16511965848,0.00613219678947,0.0847569251435,0.0,405.0460070165682,405.0743844126808,403.89784482106353,405.23633410095664
1.5000000000000009,-0.11332168355,0.0674169145204,12.4287259069,0.0330152786318,0.049254837609,0.0,-0.275292634525,0.213018506635,3.18787163429,0.0131015787481,0.101123808107,0.0,420.9005792727496,422.322023755853,422.03431612500594,422.6353397905748
1.560000000000001,-0.130853387247,0.0808640270126,12.6224327131,0.0337638393988,0.0552202475853,0.0,-0.309683074584,0.235285018258,3.26875133592,0.011194599689,0.0957884923835,0.0,440.7058129670128,440.2731861359231,441.6210455034613,441.463598009543
1.620000000000001,-0.150655937315,0.0957145806705,12.822557362,0.0342112638519,0.06082845863,0.0,-0.35098762015,0.259779000568,3.40163553386,-0.00132426499243,0.0883798040665,0.0,457.4783476322345,456.8951406527534,458.85397062421555,457.85894089345146
1.680000000000001,-0.172989579805,0.112004028662,13.0295645227,0.0341181715356,0.0658939496712,0.0,-0.393977251324,0.283181093203,3.49826640461,-0.00201004138318,0.075037235499,0.0,447.8366277667055,446.75572298320725,447.6854516441175,447.629680269326
1.740000000000001,-0.19779489437,0.129588541972,13.239232986,0.0334888489397,0.0704665156782,0.0,-0.433259742902,0.302944718507,3.49066755237,-0.0386051269223,0.0784551332251,0.0,413.7899188710704,414.0957589706049,416.3644942491595,413.1502559718617
1.8000000000000012,-0.225355994823,0.148487390792,13.4528880499,0.0314066613762,0.0747032414923,0.0,-0.485905346324,0.326762489846,3.63068938747,-0.0278623941484,0.046344433912,0.0,462.47568230177075,459.94279610049216,461.5317416325973,462.3783916534995
1.8600000000000012,-0.256184442142,0.168781758821,13.6752508864,0.0301891855189,0.0773728933348,0.0,-0.54197323058,0.349543472355,3.7808843523,-0.00832963286866,0.0405113490066,0.0,465.2892004790537,464.8333221167117,465.43732636888495,466.96358821399616
